,Movie title,Released Year,ImDb Rating
727,Firestarter,(1984),6
728,Captain,(2022),4.9
729,King Lear,(1987),5.4
730,Freaks,(2018),6.7
731,Outlander,(2008),6.2
732,From Beyond,(1986),6.6
733,Village of the Damned,(1995),5.6
734,Happy Death Day 2U,(2019),6.2
735,Cosmic Sin,(2021),2.5
736,The Arrival,(1996),6.2
737,Spring,(I) (2014),6.7
738,Flatliners,(1990),6.5
739,The Rover,(2014),6.4
740,Zardoz,(1974),5.8
741,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,(1991),6
742,The Thirteenth Floor,(1999),7
743,The Thinning,(2016),5.3
744,Flatliners,(2017),5.2
745,The Stuff,(1985),5.9
746,Brainscan,(1994),6
747,Aliens in the Attic,(2009),5.4
748,Ultraviolet,(2006),4.3
749,Books of Blood,(2020),5.6
